place,suggested_filename,path,note,bytes
שמורת מג'רסה (הבטיחה),spring.jpg,springs/majrase-baticha-spring.jpg,ok,4040349
עין כנף,spring.jpg,springs/ein-kanaf-spring.jpg,ok,4321271
גן לאורסי,ruins.jpg,ruins/kursi-national-park-ruins.jpg,ok,4284838
הר סוסיתא (היפוס),ruins.jpg,ruins/sussita-hippos-ruins.jpg,ok,5177667
מצפה אופיר ושביל הבונקרים,trail.jpg,trails/mizpe-ofir-bunkers-trail.jpg,ok,5791577
שמורת טבע גמלא,trail.jpg,trails/gamla-nature-reserve-trail.jpg,ok,3184305
בריכת המשושים,spring.jpg,springs/meshushim-pool-spring.jpg,ok,18477826
נחל זוויתן · שמורת יהודיה,spring.jpg,springs/zavitan-yehudiya-spring.jpg,ok,756731
נחל אל על · המפל השחור והלבן,spring.jpg,springs/al-al-black-white-falls-spring.jpg,ok,4188532
עין קשתות (אום אל־קנאטר),ruins.jpg,ruins/um-el-kanatir-ein-keshatot-ruins.jpg,ok,3404988
חוף כינר,beach.jpg,beaches/hof-kinar-beach.jpg,ok,203903
חוף גופרה,beach.jpg,beaches/hof-gofra-beach.jpg,ok,154138
עין שוקו,spring.jpg,springs/ein-shoko-spring.jpg,ok,1913959
עין פיק,spring.jpg,springs/ein-pik-spring.jpg,ok,2515397
מעיינות עדן,spring.jpg,springs/eden-springs-spring.jpg,ok,4611616
מושבוץ · רמות,steak.jpg,steak/moshbutz-ramot-steak.jpg,ok,476343
מרינדו · עין גב,steak.jpg,steak/marindo-ein-gev-steak.jpg,ok,75023
מסעדת הבקתה · רמות,steak.jpg,steak/habakta-ramot-steak.jpg,ok,74806
מועדון ארוחת הבוקר · רמות,breakfast.jpg,breakfast/breakfast-club-ramot-breakfast.jpg,ok,182229
Full בר · גבעת יואב,steak.jpg,steak/full-bar-givat-yoav-steak.jpg,ok,128991
מולאן פטיסרי · באיי גאלי,pastry.jpg,pastry/moulin-patisserie-bay-galilee-pastry.jpg,ok,89572
ציצוס · בני יהודה,super.jpg,super/tzitzus-bnei-yehuda-super.jpg,ok,203296
פרובאנס בגולן,pastry.jpg,pastry/provence-golan-pastry.jpg,ok,31036
מזטי · בני יהודה,breakfast.jpg,breakfast/mezati-bnei-yehuda-breakfast.jpg,ok,245641
סופרמרקט וגלריה · רמות,super.jpg,super/supermarket-gallery-ramot-super-super.jpg,ok_sign,203624
קצביית מרינדו · עין גב,steak.jpg,steak/marindo-butcher-ein-gev-steak.jpg,ok,138396
יקבי רמת הגולן · חנות היקב,wine.jpg,wine/golan-heights-winery-shop-wine.jpg,ok,8440021
קניון לב קצרין,mall.jpg,mall/lev-katzrin-mall.jpg,ok,5142018
סופר רמות · משלוח SHOPO,super.jpg,super/super-ramot-shopo-super.jpg,ok,300934
תחנת דלק · צומת רמות,gas.jpg,gas/ramot-junction-gas.jpg,ok_delek_near_kinar,100475
קצביית מושבוץ · רמות,steak.jpg,steak/moshbutz-butcher-ramot-steak.jpg,ok,1904017
קניון נוף גולן · בני יהודה,mall.jpg,mall/nof-golan-mall-bnei-yehuda-mall.jpg,ok,80936
סופר מרקט · קניון נוף גולן,super.jpg,super/nof-golan-supermarket-super.jpg,ok_ad_amos,205223
דור אלון האון · אלונית,gas.jpg,gas/dor-alon-haon-alonit-gas.jpg,proxy_ev_charger,383407
תחנת דלק · גבעת יואב,gas.jpg,gas/givat-yoav-gas.jpg,proxy_village_sign,603294
אבוקייק · קיאקים בפארק הירדן,kayak.jpg,kayak/abu-kayak-jordan-park-kayak.jpg,ok,283026
נמל עין גב · שייט בכנרת,beach.jpg,beaches/ein-gev-port-sailing-beach.jpg,ok,298179
פארק קצרין העתיקה,ruins.jpg,ruins/ancient-katzrin-park-ruins.jpg,ok,5956016
יקב רמת הגולן · מרכז מבקרים,wine.jpg,wine/golan-heights-winery-visitor-center-wine.jpg,ok,2120385
ארתור קיאקים · מושבה כנרת,kayak.jpg,kayak/arthur-kayaks-moshava-kinneret-kayak.jpg,ok,154120
יקב עין תאנה · גבעת יואב,wine.jpg,wine/ein-teena-winery-givat-yoav-wine.jpg,ok,444460
יקב טרה נובה · כנף,wine.jpg,wine/terra-nova-winery-kanaf-wine.jpg,ok,1778411
שולחן האוכל · כנף,breakfast.jpg,breakfast/shulchan-haochel-kanaf-breakfast.jpg,ok,63029
